id;city;lon;lat
010575727034;Kirchn�chel;10,680134;54,20411
010575727035;Klamp;10,534124;54,296417
010575727038;Kletkamp;10,638094;54,249088
010575727048;L�tjenburg, Stadt;10,589926;54,292744
010575727055;Panker;10,573095;54,33034
010575727076;Schwartbuck;10,478063;54,358264
010575727082;Tr�ndel;10,525459;54,335207
010575739015;Dersau;10,33594;54,118055
010575739017;D�rnick;10,360375;54,163392
010575739022;Grebin;10,494272;54,195932
010575739032;Kal�bbe;10,283107;54,118146
010575739045;Lebrade;10,422164;54,216652
010575739053;Nehmten;10,393262;54,094848
010575739065;Rantzau;10,507361;54,253869
010575739067;Rathjensdorf;10,427748;54,185702
010575739089;Wittmoldt;10,349133;54,174882
010575747002;Barmissen;10,175384;54,204995
010575747010;Boksee;10,127708;54,242982
010575747011;Bothkamp;10,134422;54,203356
010575747023;Gro�barkau;10,169008;54,225363
010575747031;Honigsee;10,187224;54,228283
010575747033;Kirchbarkau;10,142365;54,211515
010575747037;Klein Barkau;10,135269;54,222719
010575747042;K�hren;10,258367;54,198376
010575747046;Lehmkuhlen;10,361157;54,225915
010575747047;L�ptin;10,215744;54,175217
010575747054;Nettelsee;10,189086;54,174112
010575747058;Pohnsdorf;10,249321;54,239647
010575747059;Postfeld;10,21641;54,211309
010575747066;Rastorf;10,289064;54,272603
010575747070;Schellhorn;10,299476;54,227597
010575747084;Wahlstorf;10,294716;54,178083
010575747086;Warnau;10,160154;54,18792
010575755003;Barsbek;10,320134;54,404132
010575755006;Bendfeld;10,419437;54,364157
010575755012;Brodersdorf;10,249254;54,385481
010575755018;Fahren;10,33813;54,349552
010575755020;Fiefbergen;10,34277;54,379311
010575755028;H�hndorf;10,370674;54,372619
010575755039;K�hn;10,455111;54,34444
010575755040;Krokau;10,341593;54,402446
010575755041;Krummbek;10,400709;54,37814
010575755043;Laboe;10,224323;54,404031
010575755049;Lutterbek;10,276816;54,391952
010575755056;Passade;10,316786;54,366581
010575755060;Prasdorf;10,296264;54,378679
010575755063;Probsteierhagen;10,288376;54,362604
010575755073;Sch�nberg (Holstein);10,372476;54,39239
010575755078;Stakendorf;10,422791;54,388445
010575755079;Stein;10,268846;54,414659
010575755081;Stoltenberg;10,346508;54,344759
010575755087;Wendtorf;10,292376;54,409817
010575755088;Wisch;10,344122;54,411023
010575775016;Dobersdorf;10,281513;54,31849
010575775044;Lammershagen;10,443923;54,274509
010575775050;Martensrade;10,392528;54,279612
010575775052;Mucheln;10,442687;54,246421
010575775072;Schlesen;10,328605;54,321544
010575775077;Selent;10,425868;54,290473
010575775090;Fargau-Pratjau;10,379022;54,318981
010575782025;Heikendorf;10,207126;54,371303
010575782051;M�nkeberg;10,187105;54,348118
010575782074;Sch�nkirchen;10,223696;54,336531
010575785005;Belau;10,259724;54,097544
010575785024;Gro�harrie;10,049861;54,119087
010575785068;Rendsw�hren;10,17974;54,074276
010575785069;Ruhwinkel;10,221823;54,094216
010575785071;Schillsdorf;10,123873;54,116231
010575785080;Stolpe;10,222608;54,128911
010575785083;Tasdorf;10,031477;54,09572
010575785085;Wankendorf;10,208038;54,112811
